id,equipment_id,person_id,verification_type,recognition_name,image_url,equipment_verification_id,add_time,update_time,operator_id,remark,recognition_type,temperature_val,signSimilar,qrCode
1,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/5462488a688d4227b4845af8fe8f63b9/20200803163544_20200803155634.jpg,20200803155634,2020-08-03 15:56:34,2020-08-03 16:35:44,1,,0,36.6℃,,
3,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/566314c400294023a7d6532923b73388/20200803163544_20200803155708.jpg,20200803155708,2020-08-03 15:57:08,2020-08-03 16:35:44,1,,0,36.6℃,,
8,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/a5a1106d4ec945cca9dc638de65ecb28/20200803163544_20200803142706.jpg,20200803142706,2020-08-03 14:27:06,2020-08-03 16:35:44,1,,0,36.4℃,,
9,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/42cc823785e84fb491eb43421d34270a/20200803163546_20200803142711.jpg,20200803142711,2020-08-03 14:27:11,2020-08-03 16:35:46,1,,0,36.5℃,,
10,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/3d467eb17d5f40e1809a16b2e8ee5ab0/20200803163544_20200803142521.jpg,20200803142521,2020-08-03 14:25:21,2020-08-03 16:35:44,1,,0,36.1℃,,
11,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/a99463935caa4561b8f11638eb8f89ab/20200803163548_20200801143223.jpg,20200801143223,2020-08-01 14:32:23,2020-08-03 16:35:48,1,,0,36.3℃,,
12,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/f69bb33ee8f34711a3219c25c43468a7/20200803163548_20200803142701.jpg,20200803142701,2020-08-03 14:27:01,2020-08-03 16:35:48,1,,0,36.3℃,,
13,1,-2,3,未登録(藤原　章平),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/a4c97cd8537f4cca9f8a308c6f065942/20200803163548_20200801134117.jpg,20200801134117,2020-08-01 13:41:17,2020-08-03 16:35:48,1,,0,36.5℃,,
14,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/50e8bfe220a14489bb0b06e3969bffa2/20200803163548_20200803131920.jpg,20200803131920,2020-08-03 13:19:20,2020-08-03 16:35:48,1,,0,-1℃,,
15,1,-2,3,未登録(ストレンジャー),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/03/88a861919c85444b810842a186524d0f/20200803163548_20200801165127.jpg,20200801165127,2020-08-01 16:51:27,2020-08-03 16:35:48,1,,0,36.6℃,,
